"","Latitude","Longitude"
"315",33.68951,-111.98921
"316",33.29755,-111.78102
"317",33.35005,-111.93288
"318",33.38753,-112.00276
"319",33.41244,-111.81256
"320",33.47497,-111.98882
"321",33.5049,-111.99944
"322",33.57671,-111.92011
"323",33.65932,-111.98791
"324",33.66202,-112.06994
"325",33.70646,-112.19345
"326",33.26602,-111.76624
"327",33.29768,-112.00783
"328",33.32414,-111.95443
"329",33.36967,-111.86614
"330",33.38819,-111.7109
"331",33.46933,-111.69245
"332",33.48695,-111.90462
"333",33.51676,-111.90411
"334",33.6619,-112.05693
"335",33.29861,-111.73078
"336",33.37152,-111.85599
"337",33.47007,-111.90051
"338",33.54569,-112.17557
"339",33.63277,-112.07008
"340",33.68973,-112.12462
"341",33.76166,-111.96965
"342",33.32753,-111.77873
"343",33.39928,-111.93305
"344",33.54564,-112.14203
"345",33.57277,-112.14461
"346",33.28416,-111.84908
"347",33.43914,-111.89197
"348",33.4431,-111.84087
"349",33.55949,-112.12714
"350",33.66203,-112.14653
"351",33.29872,-111.90364
"352",33.34042,-111.74548
"353",33.35668,-111.78067
"354",33.36729,-111.83292
"355",33.37205,-111.73124
"356",33.39905,-111.67697
"357",33.44247,-111.77957
"358",33.44626,-112.0107
"359",33.47134,-111.74518
"360",33.50152,-112.15874
"361",33.53229,-112.14207
"362",33.61641,-112.24696
"363",33.619,-111.94737
"364",33.62818,-112.22881
"365",33.65908,-112.10836
"366",33.35754,-111.73002
"367",33.37216,-111.7483
"368",33.39822,-112.32979
"369",33.42765,-112.25017
"370",33.57097,-112.24583
"371",33.64854,-112.11261
"372",33.29786,-111.76304
"373",33.31328,-111.86787
"374",33.343,-111.7311
"375",33.35585,-111.86548
"376",33.39731,-111.84987
"377",33.3994,-112.21158
"378",33.41554,-111.7949
"379",33.43009,-111.76302
"380",33.43901,-111.73455
"381",33.46824,-112.33338
"382",33.54388,-112.04029
"383",33.63135,-112.0386
"384",33.66167,-112.00572
"385",33.43042,-112.08036
"386",33.53048,-112.29793
"387",33.55717,-112.30122
"388",33.64575,-112.12536
"389",33.70643,-112.13974
"390",33.27259,-111.74297
"391",33.3011,-111.86602
"392",33.36965,-111.88641
"393",33.43493,-112.34376
"394",33.47646,-111.93924
"395",33.50401,-111.91316
"396",33.53138,-112.08828
"397",33.60207,-112.14464
"398",33.63068,-112.1426
"399",33.6899,-111.9678
"400",33.26865,-111.8489
"401",33.40111,-111.71042
"402",33.46005,-112.32837
"403",33.25209,-111.86548
"404",33.35711,-111.81658
"405",33.36726,-112.17354
"406",33.37151,-111.903
"407",33.38423,-112.19393
"408",33.3984,-112.14319
"409",33.42753,-111.86111
"410",33.43114,-111.74398
"411",33.44251,-111.93198
"412",33.50152,-112.15874
"413",33.53121,-112.16177
"414",33.54574,-112.05731
"415",33.55797,-112.08867
"416",33.58391,-112.32812
"417",33.60449,-111.95124
"418",33.65845,-112.30016
"419",33.67513,-112.26405
"420",33.38839,-112.33212
"421",33.44008,-111.88892
"422",33.44247,-111.77957
"423",33.58757,-111.96869
"424",33.28274,-111.79618
"425",33.3011,-111.86602
"426",33.35607,-111.88658
"427",33.39877,-112.17729
"428",33.41743,-111.84456
"429",33.43901,-111.73455
"430",33.46824,-112.33338
"431",33.48698,-111.9692
"432",33.55741,-112.10935
"433",33.60198,-112.38574
"434",33.64424,-112.05648
"435",33.38753,-112.00276
"436",33.41173,-112.07419
"437",33.46893,-112.29691
"438",33.50126,-112.28054
"439",33.55949,-112.12714
"440",33.6619,-112.05693
"441",33.21941,-111.81067
"442",33.32414,-111.95443
"443",33.35759,-111.8514
"444",33.38969,-111.73099
"445",33.45687,-112.34969
"446",33.50144,-111.93566
"447",33.55113,-112.41473
"448",33.31226,-111.81398
"449",33.29794,-111.71135
"450",33.32753,-111.77873
"451",33.35629,-111.79885
"452",33.36634,-111.91861
"453",33.37428,-111.70938
"454",33.38785,-112.26954
"455",33.39928,-111.93305
"456",33.41559,-112.17524
"457",33.43914,-111.89197
"458",33.45674,-111.76963
"459",33.47304,-112.15909
"460",33.59019,-112.02181
"461",33.64556,-111.95066
"462",33.65902,-112.16163
"463",33.32827,-111.79739
"464",33.437,-111.90618
"465",33.58704,-111.98653
"466",33.25486,-111.84943
"467",33.34137,-111.88125
"468",33.35744,-111.74466
"469",33.37216,-111.7483
"470",33.39822,-112.32979
"471",33.43114,-111.74398
"472",33.44616,-111.84898
"473",33.44661,-111.96973
"474",33.53121,-112.16177
"475",33.54579,-112.12536
"476",33.57685,-111.93559
"477",33.58732,-112.11172
"478",33.619,-111.94737
"479",33.62818,-112.22881
"480",33.65845,-112.30016
"481",33.67137,-112.24609
"482",33.3592,-111.73798
"483",33.39192,-112.34266
"484",33.43037,-112.23318
"485",33.44014,-111.88678
"486",33.45496,-111.94577
"487",33.57277,-112.14461
"488",33.67334,-112.10887
"489",33.27309,-111.82616
"490",33.28355,-111.81524
"491",33.32844,-111.59024
"492",33.35823,-111.63014
"493",33.41411,-112.24612
"494",33.44332,-111.69278
"495",33.46824,-112.33338
"496",33.49975,-111.96837
"497",33.5894,-111.918
"498",33.60198,-112.38574
"499",33.61966,-112.16002
"500",33.65932,-111.98791
"501",33.6619,-112.05693
"502",33.29752,-111.83443
"503",33.34042,-111.74548
"504",33.41173,-112.07419
"505",33.21236,-111.76235
"506",33.29861,-111.73078
"507",33.38742,-111.74699
"508",33.41143,-112.0399
"509",33.43493,-112.34376
"510",33.49976,-111.89915
"511",33.54257,-112.39897
"512",33.6899,-111.9678
"513",33.74819,-112.333
"514",33.21256,-111.79795
"515",33.29189,-111.9518
"516",33.38753,-112.00276
"517",33.41394,-111.70928
"518",33.55113,-112.41473
"519",33.25209,-111.86548
"520",33.26865,-111.8489
"521",33.32698,-111.69548
"522",33.38785,-112.26954
"523",33.39928,-111.93305
"524",33.41538,-111.93387
"525",33.4275,-112.12678
"526",33.48656,-112.19476
"527",33.60111,-111.98729
"528",33.61948,-112.03929
"529",33.64556,-111.95066
"530",33.43907,-111.89263
"531",33.28274,-111.79618
"532",33.29872,-111.90364
"533",33.31391,-111.90338
"534",33.36634,-111.91861
"535",33.36785,-111.82618
"536",33.37278,-111.67911
"537",33.38969,-111.73099
"538",33.40111,-111.71042
"539",33.42653,-111.77847
"540",33.43094,-111.7285
"541",33.44251,-111.93198
"542",33.45784,-112.1239
"543",33.51905,-112.05906
"544",33.55741,-112.10935
"545",33.57685,-111.93559
"546",33.619,-111.94737
"547",33.63363,-111.98664
